audioTimeSec,isRunning,isOnTarget,rayOriginX,rayOriginY,rayOriginZ,rayDirX,rayDirY,rayDirZ,targetX,targetY,targetZ
6.016,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.037,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.059,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.101,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.123,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.144,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.165,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.187,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.208,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.229,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.251,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.251,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.272,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.293,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.315,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.357,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.379,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.4,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.421,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.443,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.464,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.485,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.507,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.528,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.549,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.571,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.613,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.635,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.656,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.677,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.699,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.72,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.72,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.763,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.784,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.805,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.848,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.891,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.891,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.912,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.933,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.955,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.976,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
6.997,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.019,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.04,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.061,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.083,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.104,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.125,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.168,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.189,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.211,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.211,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.253,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.296,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.317,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.339,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.36,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.36,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.381,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.424,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.445,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.467,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.488,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.509,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.531,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.552,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.573,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.595,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.616,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.637,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.659,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.701,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.723,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.744,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.765,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.787,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.808,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.829,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.851,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.851,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.893,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.915,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.936,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.957,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
7.979,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.021,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.043,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.085,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.107,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.128,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.149,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.171,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.192,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.213,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.235,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.256,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.277,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.299,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.32,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.341,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.363,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.384,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.405,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.427,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.448,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.491,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.491,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.512,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.533,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.555,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.576,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.619,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.64,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.661,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.683,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.704,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.725,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.747,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.768,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.789,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.811,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.811,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.832,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.896,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.917,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.939,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.96,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.96,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
8.981,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.003,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.024,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.045,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.067,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.088,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.109,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.152,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.173,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.195,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.216,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.237,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.259,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.28,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.301,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.323,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.344,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.365,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.408,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.429,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.451,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.451,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.472,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.493,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.515,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.536,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.557,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.6,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.621,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
